French,English
je,I
de,of
est,is
pas,not
le,the
vous,you
la,the
tu,you
que,than
un,a
il,he
et,and
à,at
a,at
ne,born
les,the
ce,this
en,in
on,we
ça,that
une,a
ai,have
pour,for
des,from
moi,me
qui,Who
nous,we
y,Y
mais,corn
me,me
dans,in
du,from
bien,Good
elle,she
si,if
tout,all
plus,more
non,no
mon,my
suis,am
te,you
au,to
avec,with
va,goes
oui,Yes
toi,you
fait,do
ils,they
as,have
être,to be
faire,To do
se,be
comme,like
était,was
sur,on
quoi,what
ici,here
sais,know
lui,him
veux,want
ma,my
là,the
rien,nothing
dit,said
es,es
où,or
votre,your
pourquoi,Why
sont,are
cette,this
quand,when
par,through
son,his
ton,your
peux,can
vais,am going to
dire,to say
alors,so
comment,How? 'Or' What
avez,have
bon,Well
ou,Where
très,very
merci,thank you
ont,have
même,same
jamais,never
aussi,Also
voir,see
chose,thing
allez,go
tous,all
deux,of them
ces,those
faut,should
sa,her
êtes,are
été,summer
ta,your
fais,do